year,is_knockout,team_1_score,team_2_score,team_1_name,team_1_is_home_nation,team_1_top_goalscorers_count,team_1_premier_league_players,team_1_laliga_players,team_1_serie_a_players,team_1_bundesliga_players,team_1_ligue_1_players,team_1_players_finishing_top_three_europe_domestic,team_1_n_unique_clubs,team_1_qualified_last_time,team_1_made_r16_last_time,team_1_made_quarters_last_time,team_1_made_semis_last_time,team_1_made_final_last_time,team_1_ranking,team_2_name,team_2_is_home_nation,team_2_top_goalscorers_count,team_2_premier_league_players,team_2_laliga_players,team_2_serie_a_players,team_2_bundesliga_players,team_2_ligue_1_players,team_2_players_finishing_top_three_europe_domestic,team_2_n_unique_clubs,team_2_qualified_last_time,team_2_made_r16_last_time,team_2_made_quarters_last_time,team_2_made_semis_last_time,team_2_made_final_last_time,team_2_ranking
1994,1,1,2,nigeria,0,0,2,2,0,1,2,0,21,0,0,0,0,0,11,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4
1994,1,1,1,mexico,0,0,0,2,0,0,0,0,14,0,0,0,0,0,16,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29
1994,1,2,1,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4,spain,0,0,0,21,0,0,0,10,10,1,1,0,0,0,5
1994,1,2,3,netherlands,0,0,0,1,4,0,0,3,10,1,1,0,0,0,2,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3
1994,1,2,1,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29,germany,0,0,0,0,3,13,2,7,15,1,1,1,1,1,1
1994,1,2,2,romania,0,0,0,1,2,1,0,1,15,1,1,0,0,0,7,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10
1994,1,1,2,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4
1994,1,0,1,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3
1994,1,4,0,sweden,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,bulgaria,0,0,1,2,0,2,0,5,19,0,0,0,0,0,29
1994,1,0,0,brazil,0,1,0,3,2,3,2,6,17,1,1,0,0,0,3,italy,0,3,0,0,22,0,0,11,7,1,1,1,1,0,4
2014,0,3,1,brazil,1,0,6,3,3,2,2,13,17,1,1,1,0,0,3,croatia,0,0,2,3,3,3,1,3,19,0,0,0,0,0,18
